Word(s),Spoken Form (If Different)
1Password,one password
A1C,a one see
add,ad
addendum
admin
and/or,and or
any more,anymore
app
appscript
auto,otto
Bar-Shain,bar shain
Baughman,bachmann
BestPractice Advisories,best practice advisories
BestPractice Advisory,best practice advisory
BestPractice,best practice
biocounseling
biocounselor
biocounselors
biosketch
BPA
BPAs
Busey,busey
Calibri
Choose2Quit,choose to quit
Cisco
Citrix
Clinisync,clinasink
comments,comets
Cognivue
consult
Costco
CoverMyMeds,cover my meds
COVID
COVID-19,covid nineteen
CT scan,c t scan
CT scan,cat scan
Cursorless,cursorless
Data Courier,data career
Data Courier,data courier
Data Courier,date a career
Data Courier,date a courier
Datalink,data link
DeMichiei,de miche
Dev
DNS
Doc Flowsheet
docs,dox
Duplicacy,duplicacy
EagleFiler,eagle filer
e-cigarette,e cigarette
edit,ad it
Enrica's,enriquez
Enrica's,in rias
Enrica,en ria
Enrica,in ria
EpicCare Ambulatory,epic care ambulatory
EpicCare,epic care
Eric,eric
Fang,fung
Fang,funng
Fantastical,fantastic to tell
FastScripts,fast scripts
Finton,finton
flowsheet,flow sheet
Furrball,fur ball
Furrball,furball
Furrball,verbal
Gaby
Gary
Gelles,ellis
Gelles,gillis
GHz,gigahertz
GitHub,git hub
Glaab
go-live,go live
Greco
grouper
hepatitis C,hepatitis see
Home Assistant,home assistant
Homerow,home row
Hyperspace,hyperspace
iMac,imac
In Basket,in basket
in Mac,in mac
inbox
informatics
Intermountain,inter mountain
iOS,ios
iOS,iowas
iPad,ipad
Jabra
Jenn,jen
Jessica
Jon
Kaelber's,kelbers
Kaelber,kelber
knausj,naus jay
Kuentz,coons
Kuentz,coz
Kuentz,kuntz
launchable,launch able
LaunchBar,launch bar
lifecycle,life cycle
LOINC,loink
Lookitt,look it
lung
Lung-RADS,lung rads
macOS,mac o s
Matt Tien,mattian
Matt,matt
med
MedHub,med hub
Medicalis
meds,mes
Mike,mike
Minecraft
mini
Minio
misrecognition,mis recognition
MsgFiler,message filer
MyChart,my chart
N map,nmap
NIDA,nida
NIDA COE,nida coe
NoteWriter,note writer
OAuth,o auth
OAuth2,o auth two
OmniGraffle,omni gravel
OmniOutliner,omnia outliner
OneNote,one note
operationalizing
order-specific,order specific
OurPractice Advisories,our practice advisories
OurPractice Advisory,our practice advisory
OurPractice,our practice
paystub,paced up
paystub,paste up
pend
pended
Philips,phillips
popover,pop over
PowerPoint,power point
PuTTY,putty
questionnaire,question air
QuickAction,quick action
Radiant,radiant
Rango
REDCap,red cap
Robinson,robinson
RStudio,our studio
RStudio,r studio
Ruba
Rx30,r x thirty
screenshot
Sectra,sectra
see,se
setup,set up
Shrefler
shortcut,short cut
Siff
sig
sigs
SlicerDicer,slicer dicer
SmartBlock,smart block
SmartData,smart data
SmartData Element,smart data element
SmartForm,smart form
SmartGroup,smart group
SmartGroups,smart groups
SmartLink,smart link
SmartLinks,smart links
SmartList,smart list
SmartLists,smart lists
SmartPhrase,smart phrase
SmartPhrases,smart phrases
Smartserv
SmartSet,smart set
SmartSets,smart sets
SmartText,smart text
SmartTexts,smart texts
SmokefreeTXT,smoke free text
SQLTools,sequel tools
startup,start up
SuperDuper!,super duper
Surescripts,sure scripts
sysadmin
Talon
Tammy,tammy
Tarabichi
telehealth,tell a health
the,v
Tien,tien
tip sheet,tipsheet
tip sheets,tipsheets
tmux,teammox
today,to day
Tykie,tiki
underdocumented,under documented
unflag,on flag
unmount,on mount
unmounted,un mounted
unresulted
unviewed
urology
via
vitamin B12,vitamin be twelve
vitamin D
VPN
Webex
whitespace,white space
Willow Ambulatory,willow ambulatory
workqueue,work cue
workqueue,work you
workqueues,work use
X-ray,x ray
X-rays,x rays
Xcode,ex code
Zotero
